packet_id,packet_type,source_gui,dest_gui,path,hop_count,started_at,delivered_at,delay
21346,SENSOR_DATA,11,1,11->1,1,2546.999538,2546.999617,0.000079
21355,SENSOR_DATA,2,1,2->1,1,2547.907825,2547.907891,0.000066
21354,SENSOR_DATA,12,1,12->11->1,2,2547.907773,2547.907899,0.000125
21363,SENSOR_DATA,3,1,3->2->1,2,2548.527649,2548.527781,0.000132
21364,SENSOR_DATA,22,1,22->11->1,2,2548.607701,2548.607863,0.000162
21380,SENSOR_DATA,13,1,13->23->22->11->1,4,2550.598362,2550.598671,0.000309
21395,SENSOR_DATA,10,1,10->0->1,2,2552.081586,2552.081765,0.000179
21401,SENSOR_DATA,33,1,33->32->22->11->1,4,2552.598748,2552.599067,0.000319
21404,SENSOR_DATA,23,1,23->22->11->1,3,2552.787308,2552.787542,0.000234
21425,SENSOR_DATA,0,1,0->1,1,2554.741474,2554.741564,0.000090
21442,SENSOR_DATA,32,1,32->22->11->1,3,2556.965071,2556.965310,0.000239
21444,SENSOR_DATA,11,1,11->1,1,2556.999538,2556.999617,0.000079
21453,SENSOR_DATA,2,1,2->1,1,2557.907825,2557.907891,0.000066
21452,SENSOR_DATA,12,1,12->11->1,2,2557.907773,2557.907899,0.000125
21461,SENSOR_DATA,3,1,3->2->1,2,2558.527649,2558.527781,0.000132
21462,SENSOR_DATA,22,1,22->11->1,2,2558.607701,2558.607863,0.000162
21478,SENSOR_DATA,13,1,13->23->22->11->1,4,2560.598362,2560.598671,0.000309
21493,SENSOR_DATA,10,1,10->0->1,2,2562.081586,2562.081765,0.000179
21499,SENSOR_DATA,33,1,33->32->22->11->1,4,2562.598748,2562.599067,0.000319
21502,SENSOR_DATA,23,1,23->22->11->1,3,2562.787308,2562.787542,0.000234
21523,SENSOR_DATA,0,1,0->1,1,2564.741474,2564.741564,0.000090
21540,SENSOR_DATA,32,1,32->22->11->1,3,2566.965071,2566.965310,0.000239
21542,SENSOR_DATA,11,1,11->1,1,2566.999538,2566.999617,0.000079
21551,SENSOR_DATA,2,1,2->1,1,2567.907825,2567.907891,0.000066
21550,SENSOR_DATA,12,1,12->11->1,2,2567.907773,2567.907899,0.000125
21559,SENSOR_DATA,3,1,3->2->1,2,2568.527649,2568.527781,0.000132
