time,packet_type,source,current_node,next_hop,dest,hop_count,path_type
2233.4988284238675,SENSOR_DATA,"[85,1]",95,"[64,2]","[0,254]",,TREE_PARENT
2233.4988987268184,SENSOR_DATA,"[85,1]",84,"[64,254]","[0,254]",,TREE_PARENT
2233.9003642062435,SENSOR_DATA,"[28,3]",18,"[28,254]","[0,254]",,TREE_PARENT
2234.182042452327,SENSOR_DATA,"[68,1]",68,"[35,1]","[0,254]",,TREE_PARENT
2234.1821327374587,SENSOR_DATA,"[68,1]",67,"[35,254]","[0,254]",,TREE_PARENT
2234.204738242343,SENSOR_DATA,"[0,3]",11,"[0,254]","[0,254]",,DIRECT
2234.2595746346105,SENSOR_DATA,"[86,1]",96,"[86,254]","[0,254]",,TREE_PARENT
2234.2614971431926,SENSOR_DATA,"[80,1]",89,"[68,3]","[0,254]",,TREE_PARENT
2234.261544522268,SENSOR_DATA,"[80,1]",79,"[68,254]","[0,254]",,TREE_PARENT
2234.5540769087615,SENSOR_DATA,"[24,2]",34,"[3,3]","[0,254]",,TREE_PARENT
2234.5541792449408,SENSOR_DATA,"[24,2]",23,"[3,1]","[0,254]",,MESH_3H
2234.554250761047,SENSOR_DATA,"[24,2]",12,"[0,2]","[0,254]",,MESH_2H
2234.5543481913883,SENSOR_DATA,"[24,2]",2,"[0,254]","[0,254]",,DIRECT
2234.608677310799,SENSOR_DATA,"[34,1]",63,"[34,254]","[0,254]",,TREE_PARENT
2234.696930534237,SENSOR_DATA,"[14,1]",4,"[3,4]","[0,254]",,TREE_PARENT
2234.69701458225,SENSOR_DATA,"[14,1]",13,"[3,1]","[0,254]",,MESH_3H
2234.6970695300765,SENSOR_DATA,"[14,1]",3,"[0,2]","[0,254]",,MESH_2H
2234.6971395572623,SENSOR_DATA,"[14,1]",2,"[0,254]","[0,254]",,DIRECT
2234.8172514000257,SENSOR_DATA,"[63,1]",72,"[53,2]","[0,254]",,TREE_PARENT
2234.8173191998876,SENSOR_DATA,"[63,1]",62,"[53,254]","[0,254]",,TREE_PARENT
2234.8462882227695,SENSOR_DATA,"[64,2]",84,"[64,254]","[0,254]",,TREE_PARENT
2234.9127826504946,SENSOR_DATA,"[3,3]",23,"[3,1]","[0,254]",,MESH_3H
2234.912854166601,SENSOR_DATA,"[3,3]",12,"[0,2]","[0,254]",,MESH_2H
2234.912951596942,SENSOR_DATA,"[3,3]",2,"[0,254]","[0,254]",,DIRECT
2235.1324153145038,SENSOR_DATA,"[52,1]",60,"[32,1]","[0,254]",,TREE_PARENT
2235.132498103771,SENSOR_DATA,"[52,1]",51,"[32,254]","[0,254]",,TREE_PARENT
2235.2910321179565,SENSOR_DATA,"[85,2]",94,"[64,2]","[0,254]",,TREE_PARENT
2235.2911144256327,SENSOR_DATA,"[85,2]",84,"[64,254]","[0,254]",,TREE_PARENT
2235.2950838124116,SENSOR_DATA,"[23,1]",33,"[23,254]","[0,254]",,TREE_PARENT
2235.343512424529,SENSOR_DATA,"[6,1]",16,"[6,254]","[0,254]",,TREE_PARENT
2235.4816288802863,SENSOR_DATA,"[11,1]",21,"[0,3]","[0,254]",,MESH_2H
2235.481706159308,SENSOR_DATA,"[11,1]",11,"[0,254]","[0,254]",,DIRECT
2235.497086997916,SENSOR_DATA,"[24,1]",24,"[24,254]","[0,254]",,TREE_PARENT
2235.5178883125145,SENSOR_DATA,"[56,1]",76,"[56,254]","[0,254]",,TREE_PARENT
2235.5665300979917,SENSOR_DATA,"[64,1]",73,"[34,1]","[0,254]",,TREE_PARENT
2235.5666332513465,SENSOR_DATA,"[64,1]",63,"[34,254]","[0,254]",,TREE_PARENT
2235.580226763865,SENSOR_DATA,"[0,4]",10,"[0,254]","[0,254]",,DIRECT
2235.7162747413577,SENSOR_DATA,"[65,1]",74,"[53,1]","[0,254]",,TREE_PARENT
2235.716363056846,SENSOR_DATA,"[65,1]",64,"[53,254]","[0,254]",,TREE_PARENT
2235.8634815337523,SENSOR_DATA,"[55,1]",65,"[34,2]","[0,254]",,TREE_PARENT
2235.863565002855,SENSOR_DATA,"[55,1]",54,"[34,254]","[0,254]",,TREE_PARENT
2235.8825437522837,SENSOR_DATA,"[68,4]",59,"[68,254]","[0,254]",,TREE_PARENT
2235.9231257948077,SENSOR_DATA,"[32,1]",41,"[23,1]","[0,254]",,TREE_PARENT
2235.9231904296926,SENSOR_DATA,"[32,1]",31,"[11,1]","[0,254]",,MESH_3H
2235.9232614679745,SENSOR_DATA,"[32,1]",21,"[0,3]","[0,254]",,MESH_2H
2235.9233387469963,SENSOR_DATA,"[32,1]",11,"[0,254]","[0,254]",,DIRECT
2235.943211659486,SENSOR_DATA,"[64,1]",83,"[64,254]","[0,254]",,TREE_PARENT
2236.1613401150416,SENSOR_DATA,"[28,4]",39,"[28,254]","[0,254]",,TREE_PARENT
2236.1864476290225,SENSOR_DATA,"[6,3]",7,"[6,254]","[0,254]",,TREE_PARENT
2236.2105248394996,SENSOR_DATA,"[79,1]",98,"[79,254]","[0,254]",,TREE_PARENT
2236.253403669143,SENSOR_DATA,"[32,2]",42,"[23,1]","[0,254]",,TREE_PARENT
2236.2534973845068,SENSOR_DATA,"[32,2]",31,"[11,1]","[0,254]",,MESH_3H
2236.2535684227887,SENSOR_DATA,"[32,2]",21,"[0,3]","[0,254]",,MESH_2H
2236.2536457018105,SENSOR_DATA,"[32,2]",11,"[0,254]","[0,254]",,DIRECT
2236.3175990074574,SENSOR_DATA,"[35,1]",44,"[35,1]","[0,254]",,TREE_PARENT
2236.3784816405678,SENSOR_DATA,"[47,1]",48,"[47,254]","[0,254]",,TREE_PARENT
2236.393307901332,SENSOR_DATA,"[26,1]",36,"[24,3]","[0,254]",,TREE_PARENT
2236.3934109390525,SENSOR_DATA,"[26,1]",25,"[24,254]","[0,254]",,TREE_PARENT
2236.4312982582246,SENSOR_DATA,"[34,2]",54,"[34,254]","[0,254]",,TREE_PARENT
