clusterhead_1,clusterhead_2,distance
8,16,145.866132
8,17,119.980270
8,20,575.886286
8,21,524.300772
8,24,282.853410
8,26,203.115244
8,28,135.542315
8,29,116.332975
8,30,564.942972
8,32,464.300521
8,36,259.912554
8,38,198.677045
8,39,212.745160
8,40,620.702426
8,42,487.946215
8,43,413.928093
8,44,387.363322
8,45,320.288309
8,48,269.659449
8,49,259.216768
8,50,622.159449
8,53,455.331608
8,56,362.151233
8,57,320.955489
8,58,321.304664
8,59,338.069789
8,60,661.085841
8,61,606.852889
8,65,425.567025
8,66,415.932296
8,68,392.281467
8,69,380.893099
8,71,645.492919
8,72,620.027768
8,73,567.431351
8,74,515.994550
8,75,490.898921
8,77,434.673686
8,81,669.034993
8,82,652.807818
8,83,584.530281
8,86,550.272571
8,87,513.787458
8,88,549.268208
8,89,515.930519
8,90,792.510654
8,91,714.396497
8,93,673.171178
8,94,646.430719
8,95,601.794304
8,96,599.483636
8,97,604.184464
8,98,612.258908
8,99,586.512204
9,11,535.828445
9,12,481.197912
9,14,346.916378
9,16,208.201399
9,17,183.110606
9,20,635.615932
9,21,585.053675
9,24,345.555955
9,26,266.338500
9,28,173.823676
9,29,138.291924
9,30,626.437001
9,32,527.315128
9,36,319.185266
9,38,237.641056
9,39,230.176093
9,40,683.575871
9,42,551.158642
9,43,476.427373
9,44,449.048420
9,45,378.390433
9,48,310.431345
9,49,286.178231
9,50,685.373486
9,53,516.711331
9,56,415.441851
9,57,365.918867
9,58,360.682481
9,59,359.966140
9,60,724.138672
9,61,669.297947
9,65,479.138009
9,66,466.826378
9,68,424.272450
9,69,408.784966
9,71,707.170442
9,72,680.621794
9,73,625.154068
9,74,571.120485
9,75,543.439339
9,77,473.754384
9,81,729.562833
9,82,710.352455
9,83,640.971031
9,86,593.976657
9,87,555.162745
9,88,582.793902
9,89,544.259576
9,90,852.927810
9,91,773.639296
9,93,726.467603
9,94,698.252933
9,95,651.119319
9,96,642.830484
9,97,643.388123
9,98,644.976908
9,99,612.976403
11,12,58.050223
11,14,190.494734
11,16,336.573023
11,17,367.183150
11,20,104.694451
11,21,77.279022
11,24,219.556185
11,26,304.789555
11,28,489.028140
11,29,524.910791
11,30,125.142997
11,32,156.473846
11,36,354.086509
11,38,493.902844
11,39,574.079846
11,40,220.405841
11,42,211.616482
11,43,263.158967
11,44,292.234028
11,45,362.734159
11,48,500.920192
11,49,562.748173
11,50,278.356208
11,53,310.960442
11,56,426.720310
11,57,489.025911
11,58,526.277414
11,59,625.571316
11,60,331.875856
11,61,336.325645
11,65,442.378167
11,66,469.447022
11,68,604.923423
11,69,621.448736
11,71,393.308714
11,72,410.676140
11,73,444.248098
11,74,460.368065
11,75,483.232436
11,77,581.622129
11,81,444.897570
11,82,500.524894
11,83,477.028883
11,86,611.667865
11,87,609.533474
11,88,694.257283
11,89,706.202770
11,90,540.693769
11,91,508.947820
11,93,583.657283
11,94,585.320795
11,95,586.389479
11,96,647.554590
11,97,688.128322
11,98,745.534766
11,99,769.626444
12,14,134.486874
12,16,279.702587
12,17,310.069716
12,20,154.659577
12,21,109.905494
12,24,161.774648
12,26,246.739705
12,28,430.978101
12,29,467.000335
12,30,157.381747
12,32,136.782452
12,36,298.838571
12,38,436.429391
12,39,516.268289
12,40,242.165522
12,42,193.532501
12,43,225.047857
12,44,249.248973
12,45,311.693308
12,48,445.391200
12,49,505.969961
12,50,286.273794
12,53,277.929146
12,56,378.072490
12,57,436.108327
12,58,472.542841
12,59,570.104556
12,60,339.157915
12,61,330.125812
12,65,398.959121
12,66,423.973461
12,68,552.602857
12,69,567.976144
12,71,386.721668
12,72,396.885704
12,73,418.226045
12,74,426.061506
12,75,444.496256
12,77,532.861394
12,81,435.524351
12,82,481.582327
12,83,450.440519
12,86,570.768619
12,87,565.510914
12,88,648.229342
12,89,657.125277
12,90,539.875467
12,91,498.927708
12,93,558.865225
12,94,556.933822
12,95,552.614755
12,96,608.912182
12,97,647.085530
12,98,701.381563
12,99,722.033666
14,16,146.405520
14,17,177.337858
14,20,288.702054
14,21,239.183428
14,24,68.607638
14,26,126.526181
14,28,306.288187
14,29,338.075198
14,30,282.809473
14,32,207.052541
14,36,209.318443
14,38,322.169925
14,39,396.816633
14,40,352.393665
14,42,250.698776
14,43,224.885288
14,44,227.189319
14,45,245.673685
14,48,346.135980
14,49,396.624909
14,50,375.074991
14,53,283.191198
14,56,317.320950
14,57,352.014016
14,58,382.813632
14,59,468.383318
14,60,423.277099
14,61,391.332400
14,65,357.349528
14,66,373.020206
14,68,467.596743
14,69,477.043945
14,71,442.984896
14,72,437.494929
14,73,428.205052
14,74,412.433874
14,75,415.912655
14,77,463.939001
14,81,483.184144
14,82,505.409622
14,83,456.858564
14,86,529.229521
14,87,513.444971
14,88,586.579530
14,89,583.654171
14,90,600.311600
14,91,542.095877
14,93,564.683947
14,94,553.307681
14,95,533.963351
14,96,573.410482
14,97,602.725754
14,98,645.214512
14,99,653.054066
16,17,31.308216
16,20,432.225732
16,21,379.359883
16,24,137.505095
16,26,67.749611
16,28,170.099099
16,29,194.794025
16,30,419.286585
16,32,319.810776
16,36,161.584043
16,38,203.120314
16,39,265.322253
16,40,475.611137
16,42,347.181576
16,43,282.427138
16,44,262.792921
16,45,221.635223
16,48,249.802152
16,49,280.247387
16,50,480.909461
16,53,330.971017
16,56,282.736106
16,57,278.416263
16,58,297.181244
16,59,359.234057
16,60,522.378476
16,61,473.554456
16,65,340.324736
16,66,342.006223
16,68,381.576189
16,69,382.333597
16,71,516.750524
16,72,497.383223
16,73,459.160550
16,74,420.203163
16,75,406.414233
16,77,399.686768
16,81,546.180721
16,82,543.669442
16,83,481.345857
16,86,494.078172
16,87,466.703300
16,88,523.570993
16,89,506.124641
16,90,669.156037
16,91,597.091818
16,93,580.303969
16,94,559.528048
16,95,524.945290
16,96,542.466187
16,97,559.698229
16,98,586.075022
16,99,578.133586
17,20,461.929639
17,21,408.362086
17,24,163.450303
17,26,84.013690
17,28,140.972426
17,29,163.682658
17,30,447.401196
17,32,344.350271
17,36,161.743049
17,38,178.924048
17,39,236.714646
17,40,500.859599
17,42,368.602357
17,43,298.389975
17,44,275.353189
17,45,223.432387
17,48,231.268103
17,49,255.541687
17,50,502.752579
17,53,343.834122
17,56,279.381141
17,57,265.355748
17,58,280.492605
17,59,335.589554
17,60,542.646371
17,61,490.899947
17,65,339.424311
17,66,337.863219
17,68,363.457870
17,69,362.059421
17,71,532.058499
17,72,510.099114
17,73,466.434374
17,74,423.171844
17,75,405.864140
17,77,386.629584
17,81,559.088766
17,82,551.538554
17,83,487.000275
17,86,486.618087
17,87,456.909316
17,88,509.505662
17,89,488.854389
17,90,682.466531
17,91,607.984756
17,93,583.102782
17,94,560.500701
17,95,522.953959
17,96,535.476429
17,97,549.865716
17,98,572.436215
17,99,560.987638
20,21,59.734616
20,24,304.923802
20,26,392.525858
20,28,575.099150
20,29,614.353776
20,30,60.523636
20,32,176.229797
20,36,423.805854
20,38,572.161048
20,39,654.720988
20,40,150.464760
20,42,215.513825
20,43,296.570296
20,44,333.154221
20,45,419.181858
20,48,568.966694
20,49,635.986180
20,50,226.006184
20,53,330.334553
20,56,474.730361
20,57,547.841796
20,58,587.204788
20,59,691.942066
20,60,276.173316
20,61,303.770390
20,65,477.056055
20,66,508.215366
20,68,660.023110
20,69,680.214627
20,71,357.815937
20,72,387.187280
20,73,442.211724
20,74,474.395612
20,75,505.991476
20,77,626.497576
20,81,411.884094
20,82,482.828025
20,83,474.820284
20,86,636.218285
20,87,641.608787
20,88,730.122171
20,89,750.244039
20,90,489.842994
20,91,474.746087
20,93,574.741604
20,94,583.493648
20,95,595.663208
20,96,666.256430
20,97,711.721619
20,98,775.938628
20,99,808.810191
21,24,248.654856
21,26,336.297957
21,28,517.697279
21,29,557.903480
21,30,48.785168
21,32,119.454874
21,36,364.250135
21,38,513.214161
21,39,596.029839
21,40,143.248847
21,42,164.491158
21,43,239.250395
21,44,274.894321
21,45,359.641864
21,48,509.255171
21,49,576.472937
21,50,205.085251
21,53,276.536010
21,56,416.053136
21,57,488.298137
21,58,527.581005
21,59,632.208945
21,60,258.238235
21,61,271.205711
21,65,420.566456
21,66,451.041945
21,68,600.844418
21,69,620.758612
21,71,327.478677
21,72,350.624288
21,73,396.487598
21,74,423.223927
21,75,452.435611
21,77,568.551712
21,81,380.554126
21,82,444.094509
21,83,429.366825
21,86,582.614719
21,87,586.157771
21,88,674.005433
21,89,692.604121
21,90,469.732205
21,91,444.444454
21,93,532.512780
21,94,538.403628
21,95,546.562474
21,96,614.375122
21,97,658.553626
21,98,721.133915
21,99,752.124534
24,26,87.669251
24,28,270.750126
24,29,309.455130
24,30,285.186464
24,32,182.548169
24,36,145.933537
24,38,274.839925
24,39,354.525754
24,40,338.106986
24,42,213.934614
24,43,167.338471
24,44,163.151922
24,45,177.570049
24,48,288.739119
24,49,345.608218
24,50,346.063268
24,53,223.948488
24,56,249.176165
24,57,288.524444
24,58,321.459765
24,59,412.894682
24,60,389.938750
24,61,347.978570
24,65,288.825422
24,66,304.487962
24,68,405.078541
24,69,416.647033
24,71,396.019985
24,72,384.722553
24,73,366.515547
24,74,346.257834
24,75,347.954249
24,77,397.512052
24,81,432.007528
24,82,446.232000
24,83,393.964174
24,86,460.626754
24,87,445.197107
24,88,519.407297
24,89,518.510185
24,90,552.251057
24,91,488.381230
24,93,500.706703
24,94,487.712122
24,95,466.474270
24,96,504.834592
24,97,534.208971
24,98,577.514063
24,99,587.181551
26,28,184.238885
26,29,221.828268
26,30,372.103001
26,32,262.874266
26,36,104.822236
26,38,195.649308
26,39,271.506458
26,40,419.776167
26,42,284.855436
26,43,215.423453
26,44,195.043319
26,45,160.400409
26,48,223.509947
26,49,270.325755
26,50,419.060000
26,53,263.242520
26,56,226.500134
26,57,238.617466
26,58,264.584175
26,59,343.493623
26,60,458.639187
26,61,407.401486
26,65,280.279669
26,66,285.886267
26,68,350.236944
26,69,356.388477
26,71,449.620979
26,72,429.671915
26,73,392.386794
26,74,356.053917
26,75,345.481175
26,77,357.170812
26,81,478.494845
26,82,476.593721
26,83,415.303617
26,86,441.139047
26,87,417.596822
26,88,481.622915
26,89,471.075954
26,90,601.540466
26,91,529.371132
26,93,515.873301
26,94,496.569158
26,95,464.936720
26,96,488.556466
26,97,509.970412
26,98,542.840205
26,99,542.172579
28,29,49.677638
28,30,550.350130
28,32,431.608056
28,36,178.949286
28,38,64.129248
28,39,95.900692
28,40,586.208756
28,42,439.750137
28,43,350.498392
28,44,315.696383
28,45,227.985772
28,48,136.714446
28,49,126.528841
28,50,570.316009
28,53,378.198878
28,56,250.050637
28,57,192.494625
28,58,187.498531
28,59,207.358728
28,60,601.083034
28,61,536.940398
28,65,313.175240
28,66,297.070163
28,68,256.757015
28,69,246.235371
28,71,566.811334
28,72,533.567541
28,73,467.077053
28,74,407.052891
28,75,375.152912
28,77,300.915986
28,81,581.526472
28,82,550.903234
28,83,479.193667
28,86,420.153663
28,87,381.623921
28,88,413.838328
28,89,380.775390
28,90,703.146484
28,91,619.328064
28,93,558.215796
28,94,528.256965
28,95,479.029332
28,96,469.026683
28,97,470.677666
28,98,476.770242
28,99,451.715033
29,30,592.338529
29,32,476.224647
29,36,227.755672
29,38,105.330827
29,39,96.529788
29,40,631.769447
29,42,486.703962
29,43,398.811016
29,44,364.600436
29,45,277.650916
29,48,177.095964
29,49,148.071798
29,50,618.101255
29,53,427.615692
29,56,298.313622
29,57,235.747805
29,58,225.328927
29,59,223.952795
29,60,649.715999
29,61,586.194805
29,65,361.029459
29,66,343.448022
29,68,286.005902
29,69,270.784158
29,71,616.435386
29,72,583.232073
29,73,516.127480
29,74,455.161406
29,75,421.973507
29,77,337.356643
29,81,631.162973
29,82,599.675174
29,83,527.664077
29,86,460.088872
29,87,419.736291
29,88,444.559643
29,89,406.336741
29,90,752.689851
29,91,668.625731
29,93,604.670956
29,94,573.865076
29,95,523.100691
29,96,508.448854
29,97,506.526660
29,98,506.688191
29,99,475.595983
30,32,129.777052
30,36,389.449614
30,38,541.281093
30,39,624.842819
30,40,98.105433
30,42,160.452019
30,43,248.166731
30,44,286.618919
30,45,377.646587
30,48,531.542028
30,49,601.114009
30,50,168.042843
30,53,276.377828
30,56,428.488453
30,57,505.686185
30,58,545.729198
30,59,652.558210
30,60,219.680310
30,61,243.453660
30,65,425.772191
30,66,458.029207
30,68,615.183163
30,69,636.961544
30,71,297.898794
30,72,326.670889
30,73,382.831104
30,74,417.524977
30,75,450.951117
30,77,577.625784
30,81,351.873324
30,82,422.315775
30,83,415.308493
30,86,580.936654
30,87,588.347216
30,88,677.623180
30,89,700.417525
30,90,433.119667
30,91,414.983302
30,93,514.474683
30,94,523.770585
30,95,537.374744
30,96,609.519195
30,97,655.937104
30,98,721.690267
30,99,757.088015
32,36,263.354294
32,38,416.714465
32,39,500.617469
32,40,156.919951
32,42,56.895739
32,43,120.342254
32,44,157.517417
32,45,248.004424
32,48,402.875002
32,49,473.526532
32,50,168.026759
32,53,158.304003
32,56,299.441229
32,57,375.914799
32,58,415.990266
32,59,523.099037
32,60,216.818960
32,61,195.368539
32,65,301.201642
32,66,332.029659
32,68,485.757628
32,69,507.243608
32,71,251.276397
32,72,260.134658
32,73,287.775600
32,74,306.783121
32,75,333.805572
32,77,450.343173
32,81,299.046617
32,82,346.262083
32,83,320.556210
32,86,463.806182
32,87,466.715924
32,88,554.584573
32,89,574.015519
32,90,406.434370
32,91,362.264527
32,93,427.360941
32,94,428.926349
32,95,431.834381
32,96,496.713647
32,97,539.936055
32,98,601.787598
32,99,632.870349
36,38,153.767973
36,39,237.655841
36,40,413.129583
36,42,263.685672
36,43,171.827534
36,44,136.845641
36,45,61.880127
36,48,146.866194
36,49,212.246710
36,50,392.132325
36,53,201.036655
36,56,122.089914
36,57,142.865128
36,58,175.690064
36,59,271.484843
36,60,422.134171
36,61,358.752218
36,65,178.785868
36,66,181.558878
36,68,259.176124
36,69,271.082359
36,71,391.331725
36,72,361.998725
36,73,308.044367
36,74,261.545210
36,75,245.002206
36,77,256.183361
36,81,410.805540
36,82,393.459589
36,83,326.751627
36,86,336.332326
36,87,313.209405
36,88,380.066397
36,89,374.431015
36,90,533.990466
36,91,454.598300
36,93,421.382464
36,94,398.968080
36,95,363.361514
