clusterhead_1,clusterhead_2,distance
56,93,311.188841
56,94,284.514665
56,95,243.669935
56,96,262.149942
56,97,286.397227
56,98,328.704884
56,99,344.044871
57,58,40.630463
57,59,150.184042
57,60,484.958325
57,61,410.769866
57,65,139.041897
57,66,112.983634
57,68,116.908345
57,69,132.768875
57,71,425.561530
57,72,382.985004
57,73,300.166836
57,74,231.075632
57,75,191.322962
57,77,121.387217
57,81,426.965482
57,82,378.398883
57,83,304.815377
57,86,229.318127
57,87,194.185053
57,88,245.189226
57,89,232.737251
57,90,541.939925
57,91,453.320069
57,93,371.354440
57,94,339.086646
57,95,287.354195
57,96,278.542440
57,97,286.345716
57,98,307.672239
57,99,303.575616
58,59,109.662325
58,60,524.245147
58,61,449.518725
58,65,172.864028
58,66,142.985496
58,68,85.661946
58,69,95.536915
58,71,462.454294
58,72,418.632449
58,73,332.791095
58,74,261.548166
58,75,218.453535
58,77,113.470820
58,81,461.509140
58,82,408.293700
58,83,334.773562
58,86,234.911378
58,87,194.586298
58,88,230.853529
58,89,208.946443
58,90,574.273227
58,91,484.810859
58,93,393.372138
58,94,359.035733
58,95,303.627640
58,96,283.128511
58,97,283.206937
58,98,294.130518
58,99,280.960109
59,60,632.716680
59,61,557.314769
59,65,276.266711
59,66,243.228737
59,68,89.287373
59,69,59.817084
59,71,567.375811
59,72,521.695127
59,73,431.598458
59,74,358.171873
59,75,311.337707
59,77,162.695361
59,81,562.469720
59,82,501.401746
59,83,429.080531
59,86,287.973104
59,87,241.611069
59,88,235.734543
59,89,187.647401
59,90,670.556029
59,91,580.091977
59,93,471.705998
59,94,434.188277
59,95,373.611608
59,96,329.812279
59,97,311.734198
59,98,293.895303
59,99,253.771398
60,61,77.693148
60,65,360.655900
60,66,395.793979
60,68,569.546958
60,69,598.390255
60,71,102.267753
60,72,150.325716
60,73,241.288834
60,74,305.058389
60,75,351.866765
60,77,511.018986
60,81,152.265160
60,82,241.437934
60,83,266.709717
60,86,466.891373
60,87,490.285732
60,88,579.458406
60,89,619.222381
60,90,213.693155
60,91,208.646696
60,93,340.267998
60,94,361.677751
60,95,395.735196
60,96,480.155294
60,97,532.838977
60,98,608.144355
60,99,660.443830
61,65,283.766903
61,66,318.774374
61,68,492.533322
61,69,521.679599
61,71,57.023534
61,72,85.901289
61,73,166.887171
61,74,227.912649
61,75,274.338654
61,77,433.392009
61,81,109.348431
61,82,182.501162
61,83,194.634740
61,86,391.210432
61,87,413.301221
61,88,502.817383
61,89,541.759009
61,90,211.250460
61,91,173.286565
61,93,279.197872
61,94,295.697473
61,95,324.091888
61,96,406.821278
61,97,458.826543
61,98,533.178899
61,99,583.938851
65,66,35.318638
65,68,208.901423
65,69,237.933260
65,71,291.109101
65,72,246.027056
65,73,161.150086
65,74,94.318647
65,75,66.453769
65,77,155.203016
65,81,288.665779
65,82,240.822648
65,83,167.654446
65,86,173.564743
65,87,167.161371
65,88,253.509293
65,89,275.175010
65,90,402.905465
65,91,314.508129
65,93,247.620923
65,94,221.822536
65,95,184.788771
65,96,216.179570
65,97,249.125863
65,98,303.156629
65,99,331.754853
66,68,173.768228
66,69,203.134948
66,71,324.641650
66,72,278.468423
66,73,189.979136
66,74,118.717070
66,75,78.862310
66,77,120.731210
66,81,319.720248
66,82,265.865014
66,83,192.255720
66,86,156.824715
66,87,142.328581
66,88,224.813193
66,89,242.389474
66,90,431.296690
66,91,341.860505
66,93,261.246192
66,94,231.500714
66,95,186.432370
66,96,203.054378
66,97,229.723737
66,98,277.639233
66,99,301.323294
68,69,32.466305
68,71,496.381813
68,72,448.396536
68,73,354.697536
68,74,280.643571
68,75,232.167792
68,77,74.350188
68,81,486.336383
68,82,419.478056
68,83,348.647162
68,86,198.716523
68,87,152.447479
68,88,158.591727
68,89,125.824985
68,90,589.717475
68,91,499.018563
68,93,384.151498
68,94,346.136634
68,95,285.010858
68,96,241.216009
68,97,226.771777
68,98,220.762691
68,99,197.879945
69,71,526.940649
69,72,479.384817
69,73,386.275230
69,74,312.245146
69,75,263.982472
69,77,106.615708
69,81,517.878418
69,82,451.792421
69,83,380.766958
69,86,229.177309
69,87,182.624596
69,88,178.125472
69,89,135.562077
69,90,621.959924
69,91,531.267765
69,93,416.365065
69,94,378.213001
69,95,316.855573
69,96,270.230480
69,97,252.143841
69,98,238.115742
69,99,205.619129
71,72,51.887911
71,73,149.065171
71,74,219.686371
71,75,268.519121
71,77,432.147180
71,81,54.174596
71,82,139.182188
71,83,169.994484
71,86,373.714337
71,87,401.312710
71,88,488.477932
71,89,532.528145
71,90,157.354318
71,91,117.195353
71,93,238.003506
71,94,259.973171
71,95,297.022467
71,96,382.804098
71,97,436.171034
71,98,512.752012
71,99,568.646551
72,73,97.610684
72,74,169.543717
72,75,218.589393
72,77,382.697984
72,81,49.040076
72,82,96.658314
72,83,118.220498
72,86,321.827157
72,87,349.735111
72,88,436.653729
72,89,481.162815
72,90,172.551982
72,91,104.724587
72,93,193.549540
72,94,211.963326
72,95,246.007245
72,96,331.371107
72,97,384.603509
72,98,461.005434
72,99,516.771759
73,74,74.054282
73,75,122.846642
73,77,286.919831
73,81,131.641619
73,82,85.416680
73,83,32.917712
73,86,225.874741
73,87,252.248225
73,88,339.769215
73,89,383.558920
73,90,241.781558
73,91,153.664828
73,93,140.704927
73,94,141.933588
73,95,158.538990
73,96,239.960949
73,97,291.987685
73,98,366.865223
73,99,420.277717
74,75,49.078571
74,77,213.298683
74,81,205.695310
74,82,147.323337
74,83,73.760156
74,86,166.686267
74,87,185.412893
74,88,275.229293
74,89,314.446152
74,90,313.128461
74,91,223.308367
74,93,160.117926
74,94,141.837145
74,95,126.553490
74,96,191.994564
74,97,239.455608
74,98,309.516387
74,99,356.471666
75,77,164.226112
75,81,254.407232
75,82,190.639447
75,83,117.777999
75,86,130.245590
75,87,141.145268
75,88,231.664826
75,89,267.440016
75,90,359.218324
75,91,268.792083
75,93,183.197363
75,94,155.695718
75,95,119.778757
75,96,164.505584
75,97,206.146678
75,98,271.019413
75,99,312.854209
77,81,418.210182
77,82,347.577669
77,83,278.114649
77,86,127.928015
77,87,83.631424
77,88,124.485984
77,89,124.618750
77,90,518.090249
77,91,427.435106
77,93,309.801820
77,94,271.825954
77,95,210.931743
77,96,173.667001
77,97,169.762375
77,98,186.437172
77,99,190.074118
81,82,94.029300
81,83,143.033836
81,86,345.764102
81,87,377.924275
81,88,461.817084
81,89,510.013159
81,90,123.513151
81,91,64.066299
81,93,191.519941
81,94,217.834711
81,95,261.888678
81,96,348.860298
81,97,402.747918
81,98,480.521565
81,99,540.435364
82,83,73.611720
82,86,260.106554
82,87,296.548041
82,88,375.993724
82,89,427.824630
82,90,170.536445
82,91,80.011790
82,93,98.840269
82,94,123.856545
82,95,171.111542
82,96,258.007523
82,97,311.886388
82,98,390.072655
82,99,452.720837
83,86,204.283609
83,87,234.934481
83,88,319.838612
83,89,367.010406
83,90,241.511588
83,91,151.017606
83,93,109.118647
83,94,109.037810
83,95,129.481607
83,96,213.514802
83,97,266.512349
83,98,342.785148
83,99,399.364190
86,87,46.661372
86,88,116.153188
86,89,169.064617
86,90,426.281441
86,91,338.318419
86,93,197.873781
86,94,158.111481
86,95,95.671541
86,96,49.287775
86,97,76.461095
86,98,142.851425
86,99,195.080766
87,88,90.533533
87,89,132.091465
87,90,465.206750
87,91,375.961646
87,93,241.702624
87,94,202.179254
87,95,139.480455
87,96,90.063562
87,97,93.018103
87,98,136.011763
87,99,171.712772
88,89,62.920349
88,90,540.674113
88,91,453.645202
88,93,307.553785
88,94,268.109368
88,95,207.997282
88,96,128.700578
88,97,87.175568
88,98,63.285778
88,99,81.280030
89,90,595.212247
89,91,506.758543
89,93,365.496025
89,94,325.762638
89,95,264.146137
89,96,189.561149
89,97,150.092576
89,98,108.730607
89,99,72.137224
90,91,90.701550
90,93,237.530712
90,94,274.883194
90,95,332.731468
90,96,416.698073
90,97,469.315795
90,98,547.163913
90,99,614.289538
91,93,158.299036
91,94,192.310378
91,95,246.575443
91,96,332.329959
91,97,385.766843
91,98,464.022463
91,99,528.984848
93,94,39.788345
93,95,102.342496
93,96,180.598396
93,97,232.282199
93,98,309.811354
93,99,378.159342
94,95,62.707677
94,96,141.952801
94,97,194.454674
94,98,272.446607
94,99,339.653010
95,96,87.039063
95,97,140.959421
95,98,219.020715
95,99,282.412401
96,97,53.920556
96,98,132.071128
96,99,197.701098
97,98,78.288022
97,99,146.528663
98,99,74.565121
