packet_type,source,dest,source_gui,dest_gui,created_at,delivered_at,base_delay,total_delay,tx_time,rx_time,processing_time,num_hops
SENSOR_DATA,"[0,3]","[0,254]",,1,1667.907825,1667.907891,0.000066,0.004690,0.002112,0.002112,0.000400,2
SENSOR_DATA,"[12,4]","[0,254]",,1,1667.907773,1667.907899,0.000125,0.004949,0.002112,0.002112,0.000600,3
SENSOR_DATA,"[3,1]","[0,254]",,1,1668.527649,1668.527781,0.000132,0.004956,0.002112,0.002112,0.000600,3
SENSOR_DATA,"[12,2]","[0,254]",,1,1668.607701,1668.607863,0.000162,0.004986,0.002112,0.002112,0.000600,3
SENSOR_DATA,"[24,1]","[0,254]",,1,1670.598362,1670.598671,0.000309,0.005533,0.002112,0.002112,0.001000,5
SENSOR_DATA,"[1,1]","[0,254]",,1,1672.081586,1672.081765,0.000179,0.005003,0.002112,0.002112,0.000600,3
SENSOR_DATA,"[33,1]","[0,254]",,1,1672.598748,1672.599067,0.000319,0.005543,0.002112,0.002112,0.001000,5
SENSOR_DATA,"[12,1]","[0,254]",,1,1672.787308,1672.787542,0.000234,0.005258,0.002112,0.002112,0.000800,4
SENSOR_DATA,"[0,2]","[0,254]",,1,1674.741474,1674.741564,0.000090,0.004714,0.002112,0.002112,0.000400,2
SENSOR_DATA,"[12,3]","[0,254]",,1,1676.965071,1676.965310,0.000239,0.005263,0.002112,0.002112,0.000800,4
SENSOR_DATA,"[0,1]","[0,254]",,1,1676.999538,1676.999617,0.000079,0.004703,0.002112,0.002112,0.000400,2
SENSOR_DATA,"[0,3]","[0,254]",,1,1677.907825,1677.907891,0.000066,0.004690,0.002112,0.002112,0.000400,2
SENSOR_DATA,"[12,4]","[0,254]",,1,1677.907773,1677.907899,0.000125,0.004949,0.002112,0.002112,0.000600,3
SENSOR_DATA,"[3,1]","[0,254]",,1,1678.527649,1678.527781,0.000132,0.004956,0.002112,0.002112,0.000600,3
SENSOR_DATA,"[12,2]","[0,254]",,1,1678.607701,1678.607863,0.000162,0.004986,0.002112,0.002112,0.000600,3
SENSOR_DATA,"[24,1]","[0,254]",,1,1680.598362,1680.598671,0.000309,0.005533,0.002112,0.002112,0.001000,5
SENSOR_DATA,"[1,1]","[0,254]",,1,1682.081586,1682.081765,0.000179,0.005003,0.002112,0.002112,0.000600,3
SENSOR_DATA,"[33,1]","[0,254]",,1,1682.598748,1682.599067,0.000319,0.005543,0.002112,0.002112,0.001000,5
SENSOR_DATA,"[12,1]","[0,254]",,1,1682.787308,1682.787542,0.000234,0.005258,0.002112,0.002112,0.000800,4
SENSOR_DATA,"[0,2]","[0,254]",,1,1684.741474,1684.741564,0.000090,0.004714,0.002112,0.002112,0.000400,2
SENSOR_DATA,"[12,3]","[0,254]",,1,1686.965071,1686.965310,0.000239,0.005263,0.002112,0.002112,0.000800,4
SENSOR_DATA,"[0,1]","[0,254]",,1,1686.999538,1686.999617,0.000079,0.004703,0.002112,0.002112,0.000400,2
SENSOR_DATA,"[0,3]","[0,254]",,1,1687.907825,1687.907891,0.000066,0.004690,0.002112,0.002112,0.000400,2
SENSOR_DATA,"[12,4]","[0,254]",,1,1687.907773,1687.907899,0.000125,0.004949,0.002112,0.002112,0.000600,3
SENSOR_DATA,"[3,1]","[0,254]",,1,1688.527649,1688.527781,0.000132,0.004956,0.002112,0.002112,0.000600,3
SENSOR_DATA,"[12,2]","[0,254]",,1,1688.607701,1688.607863,0.000162,0.004986,0.002112,0.002112,0.000600,3
SENSOR_DATA,"[24,1]","[0,254]",,1,1690.598362,1690.598671,0.000309,0.005533,0.002112,0.002112,0.001000,5
SENSOR_DATA,"[1,1]","[0,254]",,1,1692.081586,1692.081765,0.000179,0.005003,0.002112,0.002112,0.000600,3
SENSOR_DATA,"[33,1]","[0,254]",,1,1692.598748,1692.599067,0.000319,0.005543,0.002112,0.002112,0.001000,5
SENSOR_DATA,"[12,1]","[0,254]",,1,1692.787308,1692.787542,0.000234,0.005258,0.002112,0.002112,0.000800,4
SENSOR_DATA,"[0,2]","[0,254]",,1,1694.741474,1694.741564,0.000090,0.004714,0.002112,0.002112,0.000400,2
SENSOR_DATA,"[12,3]","[0,254]",,1,1696.965071,1696.965310,0.000239,0.005263,0.002112,0.002112,0.000800,4
SENSOR_DATA,"[0,1]","[0,254]",,1,1696.999538,1696.999617,0.000079,0.004703,0.002112,0.002112,0.000400,2
SENSOR_DATA,"[0,3]","[0,254]",,1,1697.907825,1697.907891,0.000066,0.004690,0.002112,0.002112,0.000400,2
SENSOR_DATA,"[12,4]","[0,254]",,1,1697.907773,1697.907899,0.000125,0.004949,0.002112,0.002112,0.000600,3
SENSOR_DATA,"[3,1]","[0,254]",,1,1698.527649,1698.527781,0.000132,0.004956,0.002112,0.002112,0.000600,3
SENSOR_DATA,"[12,2]","[0,254]",,1,1698.607701,1698.607863,0.000162,0.004986,0.002112,0.002112,0.000600,3
SENSOR_DATA,"[24,1]","[0,254]",,1,1700.598362,1700.598671,0.000309,0.005533,0.002112,0.002112,0.001000,5
SENSOR_DATA,"[1,1]","[0,254]",,1,1702.081586,1702.081765,0.000179,0.005003,0.002112,0.002112,0.000600,3
SENSOR_DATA,"[33,1]","[0,254]",,1,1702.598748,1702.599067,0.000319,0.005543,0.002112,0.002112,0.001000,5
SENSOR_DATA,"[12,1]","[0,254]",,1,1702.787308,1702.787542,0.000234,0.005258,0.002112,0.002112,0.000800,4
SENSOR_DATA,"[0,2]","[0,254]",,1,1704.741474,1704.741564,0.000090,0.004714,0.002112,0.002112,0.000400,2
SENSOR_DATA,"[12,3]","[0,254]",,1,1706.965071,1706.965310,0.000239,0.005263,0.002112,0.002112,0.000800,4
SENSOR_DATA,"[0,1]","[0,254]",,1,1706.999538,1706.999617,0.000079,0.004703,0.002112,0.002112,0.000400,2
SENSOR_DATA,"[0,3]","[0,254]",,1,1707.907825,1707.907891,0.000066,0.004690,0.002112,0.002112,0.000400,2
SENSOR_DATA,"[12,4]","[0,254]",,1,1707.907773,1707.907899,0.000125,0.004949,0.002112,0.002112,0.000600,3
SENSOR_DATA,"[3,1]","[0,254]",,1,1708.527649,1708.527781,0.000132,0.004956,0.002112,0.002112,0.000600,3
SENSOR_DATA,"[12,2]","[0,254]",,1,1708.607701,1708.607863,0.000162,0.004986,0.002112,0.002112,0.000600,3
SENSOR_DATA,"[24,1]","[0,254]",,1,1710.598362,1710.598671,0.000309,0.005533,0.002112,0.002112,0.001000,5
SENSOR_DATA,"[1,1]","[0,254]",,1,1712.081586,1712.081765,0.000179,0.005003,0.002112,0.002112,0.000600,3
SENSOR_DATA,"[33,1]","[0,254]",,1,1712.598748,1712.599067,0.000319,0.005543,0.002112,0.002112,0.001000,5
SENSOR_DATA,"[12,1]","[0,254]",,1,1712.787308,1712.787542,0.000234,0.005258,0.002112,0.002112,0.000800,4
SENSOR_DATA,"[0,2]","[0,254]",,1,1714.741474,1714.741564,0.000090,0.004714,0.002112,0.002112,0.000400,2
