node_id,old_role,new_role,time,reason
19,REGISTERED,CLUSTER_HEAD,148.278437,proactive CH creation from PROBE
81,UNREGISTERED,REGISTERED,148.520845,
81,REGISTERED,CLUSTER_HEAD,149.206732,received CH transfer
70,CLUSTER_HEAD,ROUTER,149.206820,CH transfer ACK received
17,UNREGISTERED,REGISTERED,149.441997,
56,REGISTERED,CLUSTER_HEAD,149.515582,received CH transfer
16,REGISTERED,CLUSTER_HEAD,150.378508,proactive CH creation from PROBE
67,UNREGISTERED,REGISTERED,150.382360,
91,UNREGISTERED,REGISTERED,151.106927,
29,UNREGISTERED,REGISTERED,151.278502,
48,REGISTERED,CLUSTER_HEAD,151.627853,proactive CH creation from PROBE
92,UNREGISTERED,REGISTERED,152.122991,
80,REGISTERED,CLUSTER_HEAD,152.480019,proactive CH creation from PROBE
85,UNREGISTERED,REGISTERED,152.730398,
47,REGISTERED,CLUSTER_HEAD,152.810883,proactive CH creation from PROBE
90,UNREGISTERED,REGISTERED,152.934692,
18,UNREGISTERED,REGISTERED,153.900364,
72,UNREGISTERED,REGISTERED,154.817251,
90,REGISTERED,CLUSTER_HEAD,154.934848,received CH transfer
80,CLUSTER_HEAD,ROUTER,154.934927,CH transfer ACK received
17,REGISTERED,CLUSTER_HEAD,155.045216,proactive CH creation from PROBE
65,UNREGISTERED,REGISTERED,155.863482,
83,UNREGISTERED,REGISTERED,155.943212,
39,UNREGISTERED,REGISTERED,156.161340,
7,UNREGISTERED,REGISTERED,156.186448,
91,REGISTERED,CLUSTER_HEAD,156.452781,proactive CH creation from PROBE
72,REGISTERED,CLUSTER_HEAD,156.817387,received CH transfer
62,CLUSTER_HEAD,ROUTER,156.817455,CH transfer ACK received
92,REGISTERED,CLUSTER_HEAD,157.452739,proactive CH creation from PROBE
38,UNREGISTERED,REGISTERED,157.756182,
65,REGISTERED,CLUSTER_HEAD,157.863648,received CH transfer
54,CLUSTER_HEAD,ROUTER,157.863732,CH transfer ACK received
85,REGISTERED,CLUSTER_HEAD,158.371720,proactive CH creation from PROBE
18,REGISTERED,CLUSTER_HEAD,159.441882,proactive CH creation from PROBE
82,UNREGISTERED,REGISTERED,159.452894,
38,REGISTERED,CLUSTER_HEAD,159.756330,received CH transfer
37,CLUSTER_HEAD,ROUTER,159.756404,CH transfer ACK received
75,UNREGISTERED,REGISTERED,160.371782,
8,UNREGISTERED,REGISTERED,160.375611,
93,UNREGISTERED,REGISTERED,161.147836,
66,UNREGISTERED,REGISTERED,161.149580,
7,REGISTERED,CLUSTER_HEAD,161.441828,proactive CH creation from PROBE
83,REGISTERED,CLUSTER_HEAD,161.566357,proactive CH creation from PROBE
39,REGISTERED,CLUSTER_HEAD,161.627844,proactive CH creation from PROBE
67,REGISTERED,CLUSTER_HEAD,161.918628,proactive CH creation from PROBE
8,REGISTERED,CLUSTER_HEAD,162.375761,received CH transfer
18,CLUSTER_HEAD,ROUTER,162.375835,CH transfer ACK received
9,UNREGISTERED,REGISTERED,162.699144,
93,REGISTERED,CLUSTER_HEAD,163.148038,received CH transfer
92,CLUSTER_HEAD,ROUTER,163.148138,CH transfer ACK received
66,REGISTERED,CLUSTER_HEAD,163.149758,received CH transfer
55,CLUSTER_HEAD,ROUTER,163.149847,CH transfer ACK received
58,UNREGISTERED,REGISTERED,163.199443,
29,REGISTERED,CLUSTER_HEAD,163.900303,proactive CH creation from PROBE
68,UNREGISTERED,REGISTERED,164.182042,
82,REGISTERED,CLUSTER_HEAD,164.520762,proactive CH creation from PROBE
9,REGISTERED,CLUSTER_HEAD,164.699356,received CH transfer
19,CLUSTER_HEAD,ROUTER,164.699462,CH transfer ACK received
84,UNREGISTERED,REGISTERED,164.846288,
58,REGISTERED,CLUSTER_HEAD,165.199610,received CH transfer
47,CLUSTER_HEAD,ROUTER,165.199694,CH transfer ACK received
76,UNREGISTERED,REGISTERED,165.517888,
75,REGISTERED,CLUSTER_HEAD,165.863381,proactive CH creation from PROBE
68,REGISTERED,CLUSTER_HEAD,166.182223,received CH transfer
67,CLUSTER_HEAD,ROUTER,166.182313,CH transfer ACK received
78,UNREGISTERED,REGISTERED,166.505050,
86,UNREGISTERED,REGISTERED,169.786336,
84,REGISTERED,CLUSTER_HEAD,169.943213,proactive CH creation from PROBE
69,UNREGISTERED,REGISTERED,170.151128,
76,REGISTERED,CLUSTER_HEAD,170.918657,proactive CH creation from PROBE
49,UNREGISTERED,REGISTERED,171.627933,
86,REGISTERED,CLUSTER_HEAD,171.786505,received CH transfer
85,CLUSTER_HEAD,ROUTER,171.786590,CH transfer ACK received
77,UNREGISTERED,REGISTERED,171.918726,
78,REGISTERED,CLUSTER_HEAD,172.349295,proactive CH creation from PROBE
79,UNREGISTERED,REGISTERED,173.285938,
95,UNREGISTERED,REGISTERED,173.498828,
96,UNREGISTERED,REGISTERED,174.259575,
69,REGISTERED,CLUSTER_HEAD,175.181894,proactive CH creation from PROBE
94,UNREGISTERED,REGISTERED,175.291032,
95,REGISTERED,CLUSTER_HEAD,175.498969,received CH transfer
84,CLUSTER_HEAD,ROUTER,175.499039,CH transfer ACK received
59,UNREGISTERED,REGISTERED,175.882544,
49,REGISTERED,CLUSTER_HEAD,176.756111,proactive CH creation from PROBE
77,REGISTERED,CLUSTER_HEAD,177.046156,proactive CH creation from PROBE
97,UNREGISTERED,REGISTERED,177.554896,
88,UNREGISTERED,REGISTERED,178.349384,
79,REGISTERED,CLUSTER_HEAD,179.181951,proactive CH creation from PROBE
96,REGISTERED,CLUSTER_HEAD,179.786215,proactive CH creation from PROBE
88,REGISTERED,CLUSTER_HEAD,180.349563,received CH transfer
78,CLUSTER_HEAD,ROUTER,180.349652,CH transfer ACK received
94,REGISTERED,CLUSTER_HEAD,180.846188,proactive CH creation from PROBE
59,REGISTERED,CLUSTER_HEAD,181.150997,proactive CH creation from PROBE
97,REGISTERED,CLUSTER_HEAD,182.786242,proactive CH creation from PROBE
87,UNREGISTERED,REGISTERED,183.046161,
89,UNREGISTERED,REGISTERED,184.261497,
87,REGISTERED,CLUSTER_HEAD,185.046249,received CH transfer
76,CLUSTER_HEAD,ROUTER,185.046294,CH transfer ACK received
98,UNREGISTERED,REGISTERED,186.210525,
89,REGISTERED,CLUSTER_HEAD,186.261592,received CH transfer
79,CLUSTER_HEAD,ROUTER,186.261639,CH transfer ACK received
99,UNREGISTERED,REGISTERED,190.032065,
98,REGISTERED,CLUSTER_HEAD,207.554822,proactive CH creation from PROBE
99,REGISTERED,CLUSTER_HEAD,208.349288,proactive CH creation from PROBE
29,CLUSTER_HEAD,UNDISCOVERED,300.000000,Node failed (orphaned 0 children)
29,CLUSTER_HEAD,UNDISCOVERED,449.238110,Node recovered after 149.24s downtime
29,UNDISCOVERED,UNREGISTERED,449.441949,
29,UNREGISTERED,REGISTERED,469.442049,
29,REGISTERED,CLUSTER_HEAD,475.161245,proactive CH creation from PROBE
